domain_name,app_name,developer,email,price,last_update,category,size,number_of_installs,version,compatibility,maturity_rating,app_store_purchases,rating,number_of_ratings,five_star,four_star,three_star,two_star,one_star,link,description,release_text
babytomo.net.img_edit_free,KAWAII Walk-in closet trial,StranD,babytomo.app@gmail.com,Free,4 March 2013,Lifestyle,1.1M,"10,000 - 50,000",2.11,2.2 and up,Everyone,n/a,2.9,48,18,2,4,4,20,https://play.google.com/store/apps/details?id=babytomo.net.img_edit_free,"Renewal Version is here. https://play.google.com/store/apps/details?id=strand.app.walk_in_closet Use the automatic translation. Display corresponds to the English and Japanese. I have never noticed or have too many clothes and shoes, accessories, etc., the number, since I bought a similar thing? You can easily be tagged, to be registered, to check the item in stock. In addition, you can look in combination with other clothes when you buy on the go, have, you can easily check the fit as image or equal. When you register items, and you turn off the background of the photo in addition to tags, than finish will coordinate beautifully. Easy editing tools and for easily erase the background, and brightness and color correction. Once you have coordinated the clothes and shoes, it is also possible to save photos as an easy recall. The calendar function, and the date of purchase of the item, such as a diary to record as a note of the costume of the day, appointments and more is possible. Detailed usage, please visit the web page. http://babytomo.blogspot.jp/2012/04/walk-in-closet.html ※Permission of the Internet, you will use in the present function, will be shipped only in Japan. Only when the Japanese view, to the top screen, the buttons will be added to present. If you live in Japan, but will be displayed in Japanese, you can apply. When displayed in English, the Internet does not use any. ※ Please note even if the loss or any other damage caused by the use of the event this application program, can not be held responsible. ※ Our application is a trial version. As the limit, the registration of items has become an up to 10. Memo photo, but is compatible with the official version, the tag does not have a compatible. Are going to use, etc. Once we are satisfied with work, thank you to purchase the official version.",ver 2.04 Modify the selection and range of rotation. ver 2.03 Fixed a calendar function note. ver 2.00 ver 1.20 Was with a note function. ver 1.10 Was with a calendar function. ver 1.02 Fixed the touch of some models. ver 1
com.pinapps.tv4e,TV4E,Pinapps.com,support@pinapps.com,Free,20 April 2013,Media & Video,9.8M,"5,000 - 10,000",5,3.0 and up,Everyone,n/a,4.6,197,164,12,5,6,10,https://play.google.com/store/apps/details?id=com.pinapps.tv4e,"ΕΛΛΗΝΙΚΗ ΟΡΘΟΔΟΞΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΕΝΗΜΕΡΩΤΙΚΗ ΕΚΠΟΜΠΗ Η 4Ε είναι η μόνη Ελληνική Ορθόδοξη Τηλεόραση που εκπέμπει δορυφορικά σε όλο τον κόσμο. Σκοπός του είναι η πνευματική αναβάθμιση του σύγχρονου ανθρώπου, η καλλιέργεια του θρησκευτικού του φρονήματος, καθώς και η προώθηση και διάδοση των ελληνοχριστιανικών αξιών. Οι εκπομπές της 4Ε καλύπτουν πλήρως το φάσμα της ενημέρωσης και της ψυχαγωγίας, της παιδείας και του πολιτισμού, της πνευματικής και επιστημονικής καλλιέργειας. Η επίσημη εφαρμογή της TV4E για Android σας δίνει την δυνατότητα να παρακολουθήσετε, όπου κι αν είστε, live πρόγραμμα και on demand εκπομπές. Ξαναδείτε την αγαπημένη σας εκπομπή, όποτε θέλετε, από το video on demand.",null
co.kr.generic.pinkmirror2,Pink Makeup Mirror Full HD,Generic Co,kdh1732@gmail.com,Free,22 September 2014,Lifestyle,3.8M,"1,000 - 5,000",1.5,2.3 and up,Everyone,n/a,3.6,15,9,1,0,0,5,https://play.google.com/store/apps/details?id=co.kr.generic.pinkmirror2,"Pink Makeup Mirror Full HD Simple to use & Beauty. Pink Makeup Mirror for Full HD. Pink Makeup Mirror Full HD application is designed optimization to the full HD resolution device. ※ If your device resolution is not supported Full HD, the low quality of the screen can be displayed.",null
com.divmob.BalloonMaker,Balloon Maker for kid,luyen,divmob.com@gmail.com,Free,29 October 2012,Casual,904k,"100,000 - 500,000",1.0.5,1.6 and up,Everyone,n/a,3.3,410,160,56,55,34,105,https://play.google.com/store/apps/details?id=com.divmob.BalloonMaker,Use your touch screen to inflate colored balloons. Tap and hold to blow up balloons -- they'll pop if they are too big! - Tablet is supported - Multi touch is supported kw: balloon kids kid children child toddler baby toy 1.0.1: add more background,minor bug fix
com.themelisx.myspeedometer_plus,Speedometer +,Christos Themelis,themelisx@gmail.com,$1.07,20 February 2015,Tools,6.9M,100 - 500,2.3.3,3.0 and up,Medium Maturity,n/a,4.5,11,9,0,1,0,1,https://play.google.com/store/apps/details?id=com.themelisx.myspeedometer_plus,"Speedometer - odometer - trip computer The application works using the GPS device. The accuracy of the indication of speed and distance, is influenced by several factors (weather, tall buildings, etc). additional functions - Trip computer on/off - Trip duration - Running time - Idle time - Average speed - Top speed - Speed limit - Speed limit sound on/off - Reset counter - Selectable unit of measurement - Clock (GPS or device's) - GPS signal - Battery status - Operation day - night - Easy screen brightness adjust - Application runs in background Units of measurement: - Meters per second - Feet per second - Kilometers per hour - Miles per hour - Knots (nautical miles per hour) Translations: English, Afrikaans, Arabic, Bulgarian, Chinese, Czech, Danish, Dutch, Finnish, French, German, Greek, Hindi, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Romanian, Russian, Spanish, Swedish, Turkish.",null
com.martinvillar.android.deutschbibel,Deutsch Luther Bibel,MartinVillar.com,info@martinvillar.com,Free,23 February 2015,Books & Reference,8.3M,"50,000 - 100,000",3.7,2.3 and up,Low Maturity,n/a,4.5,967,699,149,59,21,39,https://play.google.com/store/apps/details?id=com.martinvillar.android.deutschbibel,"Deutsche Luther Bibel - Die Deutsche Luther Bibel: Altes und neues Testament (LUTH1545) - Lesepläne: Besondere Lesepläne um die Bibel in 30, 45, 60, 90, 180 oder 365 Tagen zu lesen (manche davon gibt es nur in der PRO version). - Weiterlesen vom zuletzt gelesenen Vers durch nur einen Klick! - (NEU) Desktop Widget: Lesen zufällige Verse jede Stunde. - Einstellungen zur einfachen Konfiguration der Anwendung. - Swipe von links nach rechts, um zum vorherigen Kapitel/Plan oder von rechts nach links, um zum nächsten Kapitel/Plan. - Neues Design durch ein Aktionsmenü. Spezielles Layout für Tablet-PCs. - Verse in die Zwischenablage kopieren. - Neue Icons. - Die Bibel Offline lesen. Es ist keine Internetverbindung notwendig! (Es sei denn Verse werden mit einem sozialen Netzwerk geteilt/ Messaging App). - Einfaches anlegen und aufrufen von Lesezeichen. - Zufälliger Vers auf dem Startbildschirm. - Kontextabhängige Suche: Suche innerhalb der ganzen Bibel, einem Testament, einem Buch, einem Kapitel oder innerhalb eines Tages von dem Bibelleseplan. Der Suchausdruck wird innerhalb des Suchergebnisses markiert. - Teile Verse in Sozialen Netzwerken / Messaging Apps. - Ändern der Schriftgröße für ein komfortables Lesen. Mehr Features in der kommerziellen Version ""Deutsche Luther Bibel PRO"" - Lese die Bibel in Quer- oder horizontalem Format. - Alle Lesepläne verfügbar. - Für ein einfacheres Lesen gibt es drei Kontrastmodi: Tagesmodus, Nachtmodus, Sepia Modus. - Keine Werbung. - Verbesserte Geschwindigkeit. German Luther Bible - The German Luther Bible: Old and New Testament (LUTH1545) - Reading Plans: Special Reading Plans to read the Bible in 30, 45, 60, 90, 180 or 365 days (some of which are only available in the Pro version). -","- Desktop Widget: Lesen zufällige Verse jede Stunde. - Verbesserte Abschnitt Einstellungen: neue Parameter hinzugefügt. - Verbesserungen der Benutzeroberfläche. - Neue Leseplan zur Verfügung. - Behoben: Fehler bei Leseplan, die verursacht Absturz."
com.kevistudio.galacticguardians,Galactic Guardians,Kevi Boss,kevistudio@gmail.com,Free,3 August 2014,Action,25M,"1,000 - 5,000",1.0,2.3 and up,Everyone,n/a,4.0,67,37,12,7,3,8,https://play.google.com/store/apps/details?id=com.kevistudio.galacticguardians,"Your universe is in danger. You are one of the few pilots who can save the universe from the native monstrous destruction of the meteor shower. But the main task is to save your galaxy from the alien attack. They will fly an endless stream, and you are the only one who can stop them. Show us who the steepest guard in the universe. During the rescue of the Universe you will find: - Three types of aliens - Stone and ice meteorites You will be able to reflect their attack using: - 5 different types of weapons - 3 kinds saving bonuses. And all these pleasures you get, just download this game for free.",null
com.andronicus.ledclock,Digital Alarm Clock,Squarenotch,support@squarenotch.com,Free,18 December 2014,Tools,3.1M,"5,000,000 - 10,000,000",8.7.8,2.3 and up,Everyone,$1.81,4.2,"75,084","43,771","16,440","6,363","3,017","5,492",https://play.google.com/store/apps/details?id=com.andronicus.ledclock,"Digital Alarm Clock is a reliable, stylish and easy to use speaking alarm clock & widget that can be customised to your needs. All features are now free. The alarm clock that wakes you in the morning can have an impact on the rest of your day and we know that most people prefer to be woken with a different alarm on a weekend to that of a working day. Digital Alarm Clock offers you this functionality and much more. Questions? Check out: https://squarenotch.zendesk.com Nearly 1 million people wake up with this alarm clock app every day Digital Alarm Clock FREE Features : ► ALARM OPTIONS – Each alarm can be individually customised • Built in tones or wake to your own music • Fade in alarm • Nap Timer on main display means you can set a quick alarm in just 2 clicks! • Shake to snooze, number of snoozes, custom snooze time • One off alarm, recurring alarm, date alarm ► DISPLAY OPTIONS – Completely customisable • Day & Night mode with individual brightness and volume settings • Built in nightlight softly illuminates the whole screen • Anti Burn moves the clock to look after your display • Optional day, date, seconds, AM/PM indicator, flashing separator • Select your preferred date format • Choose from over 16 million colours & several display fonts • Fits to the size of your screen or pinch to resize ► EXTRA FUNCTIONALITY – We have thought of everything • Speaking Clock. Simply tap to hear the time (requires TTS engine on device) • Silence notifications ensuring a peaceful sleep • Automatically launches when charging or docked for bedside use • Alarm clock automatically closes when the charger is unplugged or undocked • Handy widget allows you to see the time in style on your homescreen and quickly access the alarms screen. Important Task killer applications can interfere with alarm clock applications. If you experience issues with alarms not activating and you use task-killing applications then you must add Digital Alarm Clock to the whitelist. Permissions All permissions required are requested for legitimate use by the application and further information can be found at https://squarenotch.zendesk.com",v8.8.8 - Thanks to Rosario for raising an issue with One Time Alarm. Now fixed. v8.7.7 - Fix to allow date to be set in January. NOTE: New version currently being developed bringing a host of features including weather!
au.com.dominos.olo.android.app.nz,Domino's,Domino's Pizza Enterprises Limited,feedback@dominos.com.au,Free,18 December 2014,Lifestyle,Varies with device,"10,000 - 50,000",Varies with device,Varies with device,Low Maturity,n/a,3.1,291,82,61,45,23,80,https://play.google.com/store/apps/details?id=au.com.dominos.olo.android.app.nz,"Want a Domino’s store in your pocket, anywhere, anytime? Now you can with the Domino’s app! Features: - Get Pizza Tracker notifications directly on your Android Wear smart watch - Display Pizza Tracker on your TV and use your phone for other activities with the Chromecast casting feature - Build a better pizza using the all new Domino’s Pizza Chef® - Order your favourite pizza, sides and desserts from the easy to navigate menu - Track your order from the store to your door with the live Domino’s Pizza Tracker *Pricing shown may not be representative of pricing within the Ordering App",1) Minor Bug Fixes 2) Speed improvements 3) Support for Chromecast 4) Android Wear smart watch notifications
com.evast.candyboom,Candy Boom,Eva LLC,android.support@evast.ru,Free,21 April 2015,Puzzle,28M,"1,000,000 - 5,000,000",1.1.7,2.3.3 and up,Low Maturity,$0.99 - $5.32,3.9,"24,109","12,437","4,379","2,937","1,576","2,779",https://play.google.com/store/apps/details?id=com.evast.candyboom,"Make a dash for Candy Kingdom! Candy boom is a funny puzzle match 3 game. ✰ ★ ✰ ★ ✰ ★ ✰ Pop candies like bubbles. ✔ Use match 3 combinations to make candy crush. ✔ Special combinations (4 in line, 5 in line, T and L shaped combinations) create super candies. ✔ Combine super candies to see super crashes! ✰ ★ ✰ ★ ✰ ★ ✰ If all the jelly slots are crushed in certain number of moves, you get a bonus game with multiplication of candy scores. Level up. Hone your skills as a diamond and challenge your friends in duels. ★★★★★ Try your luck in slot machines. Invite your friends, spin the wheel of fortune and win prizes. Get high score and lead in different candy tops! Have fun!",Major Update Updated payment system
